INPUT:image_left	INPUT:image_right	OUTPUT:others	OUTPUT:result	GOLDEN:others	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:started	ASSIGNMENT:submitted
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_22.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_22.png		"{""Beak"":true,""Tertials"":true,""Lesser Coverts"":true,""Vent"":true,""Feet"":true,""Tibio-tarsal articulation"":true,""Belly"":true,""Throat"":true}"					000179ae16--60bccdcff220db21bc1d100e	000179ae16--60bc7eebfe5d13225934e7f4	291364989e32aaa7571603700136c80d	2021-06-06T13:29:51.666	2021-06-06T13:30:08.035
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Coverts"":true,""Thigh"":true,""Tibia"":true,""Throat"":true,""Rump"":true,""Pupil"":true,""Mantle"":true,""Vent"":true,""Flanks"":true}"					000179ae16--60bccde14f73891cd400e6e9	000179ae16--60bc7eebfe5d13225934e7fd	291364989e32aaa7571603700136c80d	2021-06-06T13:30:09.137	2021-06-06T13:30:27.340
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_31.png		"{""Lesser Coverts"":true,""Scapulars"":true,""Thigh"":true,""Feet"":true,""Breast"":true,""Wattle"":true,""Belly"":true,""Tertials"":true,""Primaries"":true,""Iris"":true,""Mantle"":true}"					000179ae16--60bccdf590429542be402234	000179ae16--60bc7eebfe5d13225934e7fa	291364989e32aaa7571603700136c80d	2021-06-06T13:30:29.203	2021-06-06T13:30:37.718
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_3.png		"{""Tertials"":true,""Head"":true,""Coverts"":true,""Scapulars"":true,""Iris"":true,""Pupil"":true,""Mantle"":true,""Feet"":true,""Flanks"":true,""Thigh"":true}"					000179ae16--60bcce0bf440ea68588ec123	000179ae16--60bc7eebfe5d13225934e801	291364989e32aaa7571603700136c80d	2021-06-06T13:30:51.881	2021-06-06T13:31:02.373
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_4.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_4.png		"{""Tertials"":true,""Belly"":true,""Tibio-tarsal articulation"":true,""Rump"":true,""Tibia"":true,""Mantle"":true,""Iris"":true,""Throat"":true,""Wattle"":true}"					000179ae16--60bcce17c2e3f602529b518a	000179ae16--60bc7eebfe5d13225934e7fb	291364989e32aaa7571603700136c80d	2021-06-06T13:31:03.341	2021-06-06T13:31:14.449
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Pupil"":true,""Tertials"":true,""Thigh"":true,""Flanks"":true,""Tibia"":true,""Tarsus"":true,""Tibio-tarsal articulation"":true,""Rump"":true,""Lesser Coverts"":true,""Head"":true}"					000179ae16--60bcce230d84521c742be03f	000179ae16--60bc7eebfe5d13225934e7f9	291364989e32aaa7571603700136c80d	2021-06-06T13:31:15.591	2021-06-06T13:31:23.571
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_2.png		"{""Coverts"":true,""Thigh"":true,""Tertials"":true,""Vent"":true,""Flanks"":true,""Belly"":true,""Tibia"":true,""Mantle"":true,""Iris"":true,""Head"":true,""Beak"":true}"					000179ae16--60bcce2c8a92a13359c803f3	000179ae16--60bc7eebfe5d13225934e7fc	291364989e32aaa7571603700136c80d	2021-06-06T13:31:24.454	2021-06-06T13:31:33.024
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_3.png		"{""Scapulars"":true,""Head"":true,""Tarsus"":true,""Belly"":true,""Wattle"":true,""Feet"":true,""Rump"":true,""Vent"":true}"					000179ae16--60bcce351e56290330229574	000179ae16--60bc7eebfe5d13225934e7fe	291364989e32aaa7571603700136c80d	2021-06-06T13:31:33.775	2021-06-06T13:31:45.187
												
